1	8.568	Beckhoff Automation GmbH & Co. KG	Verl	Beckhoff realisiert offene Automatisierungssysteme auf der Grundlage PC-basierter Steuerungstechnik.
2	8.364	ifm stiftung & Co KG	Essen	Die Firma ifm electronic ist in der Automatisierungstechnik tätig.
3	8.349	Borgers SE & Co. KGaA	Bocholt	Auf Basis von Naturfasern und recycelten Kunststoffen entwickelt und produziert BORGERS akustisch wirksame, besonders leichte Verkleidungs- und Trägerteile, Dämpfungen sowie Isolationen.
4	8.101	Windmöller & Hölscher Gruppe	Lengerich	Windmöller & Hölscher gehört zu den führenden Unternehmen im Bereich Maschinen für die Herstellung flexibler Verpackungen.
5	7.904	Fischerwerke GmbH & Co. KG	Waldachtal	Das Familienunternehmen ist in den fünf Unternehmensbereichen Befestigungssysteme, automotive systems, fischertechnik, consulting und LNT Automation tätig.
6	7.859	C.D. Waelzholz GmbH & Co. KG	Hagen	Waelzholz ist in der Stahlverarbeitung tätig und fertigt kaltgewalzte Stahlbänder und -profile für komplexe Anwendungen.
7	7.677	HiPP Gruppe	Pfaffenho…	HiPP ist der marktführende Hersteller von Babynahrung in Deutschland und weltweit der größte Verarbeiter von biologisch erzeugten Rohstoffen.
8	7.675	Handtmann Unternehmens…	Biberach an der Riß	Die Handtmann Unternehmensgruppe wird seit vier Generationen von der Familie Handtmann geleitet und ist in fünf Geschäftsbereichen weltweit tätig.
9	7.646	Kathrein-Gruppe	Rosenheim	Kathrein ist ein international führender Spezialist für zuverlässige, hochwertige Kommunikationstechnik. Das Familienunternehmen ist Innovationsführer in der vernetzten Welt von heute und arbeitet als Hidden Champion an den Technologien von morgen.
10	7.613	WIKA Alexander Wiegand SE & Co. KG	Klingenberg am Main	Die WIKA Unternehmensgruppe ist weltweit führend in der Druck- und Temperaturmesstechnik.
11	7.609	Harting AG & Co. KG	Espelkamp	Harting fertigt Komponenten und ganze Systeme zur elektronischen und elektrischen Verbindungstechnik.
12	7.593	WAGO Kontakttechnik GmbH & Co. KG	Minden	Wago ist Weltmarktführer im Bereich der Federklemmtechnik und gehört zu den führenden Anbietern im Bereich der elektrischen Verbindungs- und Automatisierungstechnik.
13	7.560	hubergroup GmbH	Kirchheim	Die hubergroup ist ein Verbund von 40 Unternehmen, verteilt über die ganze Welt. Als einer der führenden Druckfarbenhersteller liegen die Kompetenzen in der Herstellung und Vermarktung von Drucklacken, Feuchtmittelzusätzen und Druckhilfsmitteln.
14	7.490	Villeroy & Boch AG	Mettlach	Mit Produkten aus den Bereichen Bad und Wellness, Tischkultur und Fliesen ist Villeroy & Boch in 125 Ländern vertreten.
15	7.449	ARBURG GmbH + Co KG	Loßburg	Arburg gehört weltweit zu den führenden Hersteller von Kunststoff-Spritzgießmaschinen und bildet den Kern der Hehl-Gruppe.
16	7.447	Pepperl+Fuchs GmbH	Mannheim	Pepperl und Fuchs entwickelt, produziert und vertreibt elektronische Sensoren und Produkte für den Explosionsschutz.
17	7.442	Leipa Georg Leinfelder GmbH	Schwedt/…	Leipa ist ein Hersteller von Magazinpapieren, Spezialpapieren und Verpackungspapieren.
18	7.430	Maschinenfabrik Reinhausen GmbH	Regensburg	Die Maschinenfabrik Reinhausen ist ein Unternehmen der Hochspannungstechnik.
19	7.383	BITZER SE	Sindelfingen	BITZER ist Hersteller von Verdichtern, Verflüssigungssätzen und Druckbehältern für die Kälte- und Klimatechnik.
20	7.317	Hettich Gruppe	Kirchleng…	Hettich ist ein international agierender Hersteller und Vertreiber von Möbelbeschlägen.
21	7.303	Turck Gruppe	Mülheim an der Ruhr	Als einer der global führenden Spezialisten für Sensor-, Feldbus-, Anschluss- und Interfacetechnik sowie RFID- Systeme bietet Turck Lösungen für die Fabrik- und Prozessautomatisierung.
22	7.286	MEWA Textil- Service AG & Co. Management OHG	Wiesbaden	MEWA bietet Lösungen und Produkte rund um Betriebstextilien wie Berufsbekleidung oder Putztücher.
23	7.259	BOS Gruppe	Ostfildern	BOS ist ein international aufgestellter Zulieferer der Automobilindustrie.
24	7.253	dennree Gruppe	Töpen	Zur Unternehmensgruppe gehört der führende Bio- Großhandel dennree und der Bio-Facheinzelhandel denn’s Biomarkt, die ökölogische Produkte vermarkten.
25	7.217	Lindner Group KG	Arnstorf	Die Lindner Group ist Europas führender Spezialist für Gebäudehülle, Komplettausbau, Isoliertechnik und alle baurelevanten Dienstleistungen. Zudem ist die Unternehmensgruppe im Bereich Hotel- und Gastro sowie in der nachhaltigen Landwirtschaft aktiv.
26	7.187	Beumer Group GmbH & Co. KG	Beckum	Die BEUMER Group ist ein international führender Hersteller von Intralogistiksystemen in den Bereichen Fördern, Verladen, Palettieren, Verpacken, Sortieren und Verteilen und bietet ihren Kunden weltweit hochwertige Systemlösungen..
27	7.179	SCHERDEL Gruppe	Marktred…	Die SCHERDEL Gruppe bietet den kompletten Service von der Entwicklung bis zur Serienfertigung eines Bauteils oder einer vollständigen Baugruppe.
28	7.144	Koehler Holding GmbH & Co.KG	Oberkirch	Die Papierfabrik Koehler stellt Papiere in verschiedenen Variationen für unterschiedliche Anwendungen her.
29	7.127	Fahrzeug-Werke Lueg AG	Bochum	LUEG als einer der größten deutschen Mercedes Händler.
30	7.095	Unternehmens… Dr. Willmar Schwabe	Karlsruhe	Das Pharmaunternehmen Dr. Willmar Schwabe ist einer der weltweit führenden Hersteller hochwertiger pflanzlicher Arzneimittel, auch Phytopharmaka genannt.
31	6.988	WITTE Automotive	Velbert	Schlüssige Konzepte für die Automobilwelt: Seit 1899 zeichnet sich WITTE Automotive durch kreative und innovative Lösungen im Bereich der Schließ- und Verriegelungstechnik aus und entwickelte sich damit zu einer weltweit agierenden Firmengruppe.
32	6.983	ZIEHL-ABEGG SE	Künzelsau	Ziehl-Abegg gehört zu den international führenden Unternehmen im Bereich der Luft- und Antriebstechnik mit darauf abgestimmter Regeltechnik. Das Unternehmen gilt als Technologieführer beim bionischen Ventilatorendesign.
33	6.948	Lenze SE	Aerzen	Als weltweit agierender Spezialist für Motion Centric Automation bietet Lenze Produkte, Antriebslösungen, komplette Automatisierungssysteme sowie Engineering- Dienstleistungen.
34	6.945	Schön Klinik SE	Prien am Chiemsee	Schön Kliniken sind eine Klinikgruppe in privater Trägerschaft.
35	6.930	Weishaupt Gruppe	Schwendi	Weishaupt entwickelt, produziert und vertreibt Brenner und Heizsysteme.
36	6.924	ARDEX GmbH	Witten	Die Ardex GmbH ist einer der Weltmarktführer hochwertiger bauchemischer Spezialbaustoffe. Das Familienunternehmen verfolgt seit 1949 einen nachhaltigen Wachstumskurs. Die Ardex-Gruppe ist in mehr als 50 Ländern auf allen Kontinenten präsent.
37	6.914	Felix Schoeller Holding GmbH & Co. KG	Osnabrück	Die Felix Schoeller Gruppe konzentriert sich auf die Produktion hochwertiger Spezialpapiere.
38	6.867	Big Dutchman International GmbH	Vechta	Big Dutchman gehört zu den weltweit größten Unternehmen in der Produktion von Fütterungsanlagen und Stalleinrichtungen für die Haltung von Geflügel und Schweinen.
39	6.860	Weidmüller Gruppe	Detmold	Das Unternehmen bietet elektrische Verbindungstechnik auf den Gebieten Maschinenbau, Prozessindustrie, Gerätehersteller, Energiesektor und Verkehrstechnik.
40	6.840	Bitburger Braugruppe GmbH	Bitburg	Bitburger ist eine der größten familiengeführten Braugruppen Deutschlands.
41	6.840	Bürkert Fluid Control Systems	Ingelfingen	Bürkert stellt Mess-, Steuer- und Regelungssysteme für Flüssigkeiten und Gase mit Einsatz in unterschiedlichsten Branchen her – von Brauereien und Laboren bis zur Medizin-, Bio- und Raumfahrttechnik. Mit einem Vertriebsnetz in 36 Ländern.
42	6.797	Zott SE & Co. KG	Mertingen	Die Genuss-Molkerei Zott ist ein traditionsreiches bayerisches Familienunternehmen und produziert seit über 90 Jahren eine Vielzahl von Joghurt-, Dessert- und Käsespezialitäten, die in mehr als 75 Länder der Welt geliefert werden.
